katalog;kapitel;seite;kapitel_titel;tafel_titel;pos;teilenummer;bezeichnung
cat001;chap0102;13;Engine;Block Components & Pistons;3;2K8169;Core plug (1.625” diameter)
cat001;chap0102;13;Engine;Block Components & Pistons;3;AEC876;Core plug (1.326” diameter)
cat001;chap0102;13;Engine;Block Components & Pistons;3;AEH592;Core plug (1.647” diameter)
cat001;chap0102;13;Engine;Block Components & Pistons;4;12G3503;Oil gallery plug
cat001;chap0102;13;Engine;Block Components & Pistons;5;2K1345;Oil release passage
cat001;chap0102;13;Engine;Block Components & Pistons;6;CAM151;Block to head stud short
cat001;chap0102;13;Engine;Block Components & Pistons;6;TAM1617;Block to head stud short
cat001;chap0102;13;Engine;Block Components & Pistons;7;CAM150;Block to head stud long
cat001;chap0102;13;Engine;Block Components & Pistons;8;CHS2613;Filter to block bolt
cat001;chap0102;13;Engine;Block Components & Pistons;9;CHS2515;Petrol pump stud
cat001;chap0102;13;Engine;Block Components & Pistons;10;2A54;Dowel - main bearing cap
cat001;chap0102;13;Engine;Block Components & Pistons;10;12G1268;Dowel - main bearing cap
cat001;chap0102;13;Engine;Block Components & Pistons;12;12G1398;Mains bolt
cat001;chap0102;13;Engine;Block Components & Pistons;13;AEG323;Mains stud set (6 studs)
cat001;chap0102;13;Engine;Block Components & Pistons;14;C-AJJ4013;Mains nut set (6 nuts)
cat001;chap0102;13;Engine;Block Components & Pistons;15;12G164;Liner (SU3367)
cat001;chap0102;13;Engine;Block Components & Pistons;15;AEG428;Liner (was AEG239) SU3598
cat001;chap0102;13;Engine;Block Components & Pistons;17;53K2853;Drain plug
cat001;chap0102;13;Engine;Block Components & Pistons;18;6K638;Drain plug washer
cat001;chap0102;13;Engine;Block Components & Pistons;20;2A265;Petrol pump blanking plate, (uses GUG705779GM gasket)
cat001;chap0102;13;Engine;Block Components & Pistons;21;22H983;
cat001;chap0102;13;Engine;Block Components & Pistons;22;6K927;Main bearing lock tab except Cooper ‘S’/1300cc
cat001;chap0102;13;Engine;Block Components & Pistons;23;P15037-00;850cc Piston set 8.3 to 1 CR
cat001;chap0102;13;Engine;Block Components & Pistons;23;P20773-00;998cc Piston set 4 ring
cat001;chap0102;13;Engine;Block Components & Pistons;23;P20950-20;
cat001;chap0102;13;Engine;Block Components & Pistons;23;ADU3490-00;998cc Flat top piston 10.3 to 1 CR - standard +20/40/60 sizes
cat001;chap0102;13;Engine;Block Components & Pistons;23;P22357-40;1275cc Piston set 9.4 to 1 CR TURBO
cat001;chap0102;13;Engine;Block Components & Pistons;23;P21251-00;1275cc Piston 8.8 to 1 CR
cat001;chap0102;13;Engine;Block Components & Pistons;23;P21253-00;1275cc Piston 9.7 to 1 CR
cat001;chap0102;13;Engine;Block Components & Pistons;23;P20659-00;Piston 73.5 Powermax 9cc dish
cat001;chap0102;13;Engine;Block Components & Pistons;23;C-STR311;Piston 73.5 Mar Motorsport 9cc dish (Mini Spares own)
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;3;51K1382;Small end bolt
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;4;2A660;Locktab for con rod bolt
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;5;12G2217;Big end bolt
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;7;6K836;Crankshaft key
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;8;VP572-00;Con rod bearing set (Mahle)
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;8;AEB572-00;Con rod bearing set (ACL)
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;9;AEM3314-00;Mains bearing set journal width 1.064” 27.05mm 850/997cc
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;11;22A1493;Primary gear(Deva) only fits 11/2” diameter crank tail only
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;12;22A451;Thrust washer 3.04-3.09mm (.120-122”)
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;13;22G109;Bush rear for cranks with 11/2” diameter
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;14;22A321;Thrust washers 2.79-2.84mm (.110-112”) - N.L.A
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;14;22A322;Thrust washers 2.84-2.89mm (.112-114”)
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;14;22A323;Thrust washers 2.89-2.94mm (.114-116”)
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;14;22A324;Thrust washers 2.94-2.99mm (.116-118”)
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;14;22A450;Thrust washers 2.99-3.04mm (.118-120”)
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;15;22A319;U Clip thrust washer
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;16;88G549;Backing ring
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;18;WKN505;Key
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;19;AHU2379;Camshaft plate was 2A84
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;20;GFK5179;Locating plate bolt
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;21;GHF321;Locating bolt shake-proof washer
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;23;8G549;Tensioner rubber rings
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;24;6K629;Camshaft nut
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;25;2A759;Locktab
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;26;8G725;Crankshaft gear
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;27;3H2127;Timing chain
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;29;12G619B;Gasket
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;30;GFK5184;Screw, plate to block
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;31;GFK1125;Washer
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;32;53K2016;Screw plate to maincap
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;33;GHF321;Washer 1/4”star type
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;34;12G4499;Distributor drive spindle
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;35;13H2792;“O” Ring distributor housing
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;37;2A14;Push rod
cat001;chap0102;17;Engine;850cc Mini & 997cc Cooper Block;38;AEG584;Cam follower with oil hole
cat001;chap0102;18;Engine;998cc, 1100cc & 998cc Cooper - To 1980;2;2A660;Locktab
cat001;chap0102;18;Engine;998cc, 1100cc & 998cc Cooper - To 1980;3;C-STR319;High-grade Big end bolt kit
cat001;chap0102;18;Engine;998cc, 1100cc & 998cc Cooper - To 1980;3;12G2217;Big end bolt
cat001;chap0102;18;Engine;998cc, 1100cc & 998cc Cooper - To 1980;5;6K836;Crankshaft key
cat001;chap0102;18;Engine;998cc, 1100cc & 998cc Cooper - To 1980;6;VP572-00;Con rod bearings (Mahle)
cat001;chap0102;18;Engine;998cc, 1100cc & 998cc Cooper - To 1980;6;AEB572-00;Con rod bearings ACL Bearing
cat001;chap0102;18;Engine;998cc, 1100cc & 998cc Cooper - To 1980;7;AEM3314-00;Mains bearings ACL Bearings
cat001;chap0102;18;Engine;998cc, 1100cc & 998cc Cooper - To 1980;7;VM1018-00;Mains bearings Mahle race
cat001;chap0102;18;Engine;998cc, 1100cc & 998cc Cooper - To 1980;9;22A1493;Primary gear (24 teeth)
cat001;chap0102;18;Engine;998cc, 1100cc & 998cc Cooper - To 1980;11;22G109;Bush rear
cat001;chap0102;18;Engine;998cc, 1100cc & 998cc Cooper - To 1980;12;22A321;Thrust washer 2.79-2.84mm (.110-112”) - N.L.A
