modell_code;modell;baugruppe;pos;artikel;bezeichnung
c-4979;Vespa 50 N (V5A1T);Aufhängung;2;p-12110;Stoßdämpfer hinten -OEM QUALITÄT, 330mm- Vespa PX80, PX125, PX150, PX200, T5 125cc, Rally180 (VSD1T), Rally200 (VSE1T), Sprint150 (VLB1T), TS125 (VNL3
c-4979;Vespa 50 N (V5A1T);Aufhängung;3;p-15719;Mutter -DIN 934- M8
c-4979;Vespa 50 N (V5A1T);Aufhängung;4;p-574;Unterlegscheibe Silentgummi/Stoßdämpfer vorne -PIAGGIO- Vespa PX80, PX125, PX150, PX200, T5 125cc, Cosa, PK S-XL, GT-GTV, LX-LXV, ET2, ET4, S, Piaggio
c-4979;Vespa 50 N (V5A1T);Aufhängung;5;p-44666;Silentblock Stoßdämpfer oben / Rahmen hinten -PREMIUM QUALITÄT- Vespa PX, T5 125ccm, Rally, Sprint, TS, GT, GTR, SS180, GS160, Super, GL, VNA, VNB, VB
c-4979;Vespa 50 N (V5A1T);Aufhängung;6;p-6410;Stoßdämpferpatrone hinten -OEM QUALITÄT- 330mm- Vespa PX80, PX125, PX150, PX200, T5 125cc, Rally180 (VSD1T), Rally200 (VSE1T), Sprint150 (VLB1T), TS12
c-4979;Vespa 50 N (V5A1T);Aufhängung;7;p-15043;Schraube -DIN 931- M9 x 65mm (verwendet für Stoßdämpfer/Motor Vespa V50, PV, ET3, PX (-1984), Vespa Rally, Sprint150, GL150, Super, TS125, GT125, GTR1
c-4979;Vespa 50 N (V5A1T);Aufhängung;8;p-15734;Mutter -DIN 934- M9 (verwendet für Stoßdämpfer/Motor Vespa PX80, PX125, PX150, PX200 (-1984), Rally180 (VSD1T), Rally200 (VSE1T), Sprint150 (VLB1T), T
c-4979;Vespa 50 N (V5A1T);Aufhängung;9;p-15734;Mutter -DIN 934- M9 (verwendet für Stoßdämpfer/Motor Vespa PX80, PX125, PX150, PX200 (-1984), Rally180 (VSD1T), Rally200 (VSE1T), Sprint150 (VLB1T), T
c-4979;Vespa 50 N (V5A1T);Aufhängung;10;p-35825;Traversenschraube M10 x 220mm -PIAGGIO- Vespa GT 250 (ZAPM45102), Vespa GT L 125 (ZAPM31100, ZAPM31101), Vespa GT L 200 (ZAPM31200), Vespa GTS 125 (ZA
c-4979;Vespa 50 N (V5A1T);Aufhängung;11;p-15757;Federring -DIN 127- M10
c-4979;Vespa 50 N (V5A1T);Aufhängung;16;p-12035;Sicherungsscheibe Silentgummi Motor links 29x39x2mm -OEM QUALITÄT- Vespa PV125, V50N, PK S, PK XL, PK XL2
c-4979;Vespa 50 N (V5A1T);Aufhängung;17;p-12035;Sicherungsscheibe Silentgummi Motor links 29x39x2mm -OEM QUALITÄT- Vespa PV125, V50N, PK S, PK XL, PK XL2
c-4979;Vespa 50 N (V5A1T);Aufhängung;19;p-49139;Unterlegscheibe M8x24x2mm Gabel/Schwingenabdeckung -VESPA- V50, V90, SS50, SS90, PV125, ET3
c-4979;Vespa 50 N (V5A1T);Aufhängung;20;p-15719;Mutter -DIN 934- M8
